name1,name2,distance,group
Vanessa,Vivien,0.9590269923210144,FF
Sara,Vanessa,0.9626211524009703,FF
Emma,Vivien,1.0289841890335083,FF
Bell,Doughnut,1.0332728624343872,FF
Camila,Millie,1.0726385116577148,FF
Bell,Jenna,1.085882306098938,FF
April,SabrinatheWitch,1.088872313499451,FF
Sara,Vivien,1.089726209640503,FF
Camila,Jenna,1.103798270225525,FF
Bell,Camila,1.1082583665847778,FF
Doughnut,Jenna,1.111775279045105,FF
Avery,Nana,1.1119900941848757,FF
Nia,Nova,1.1283468008041382,FF
Camila,Lindsay,1.1450735330581665,FF
Camila,Doughnut,1.1508530378341677,FF
Amber,Echo,1.1790531873703003,FF
Jennifer,ReporterCatalina,1.1810463666915894,FF
Abigail,Amber,1.1847554445266724,FF
Emma,Vanessa,1.1847639083862305,FF
Lindsay,Millie,1.188029646873474,FF
Kristen,Skylar,1.1884342432022097,FF
MrsClaus,Sophia,1.1984766721725464,FF
Helena,Jenna,1.2059142589569092,FF
Alex,Emma,1.2118991613388062,FF
Charlotte,Olivia,1.2135331630706787,FF
Carol,Lydia,1.2184773683547974,FF
Amber,Athena,1.222094178199768,FF
Jennifer,Nana,1.2294434309005735,FF
Margaret,ReporterCatalina,1.2295290231704712,FF
Liz,Olivia,1.233863353729248,FF
Bell,Lindsay,1.2347272634506226,FF
Jenna,Lydia,1.2398523092269895,FF
Avery,Harper,1.2490041255950928,FF
Emma,Sara,1.250396966934204,FF
Carol,Nana,1.2562543153762815,FF
Doughnut,Lydia,1.257535099983215,FF
Jenna,Lindsay,1.261005997657776,FF
Patricia,Riley,1.261947512626648,FF
Liz,Starling,1.2703438997268677,FF
Nana,ReporterCatalina,1.2744156122207642,FF
Bell,Lydia,1.282335638999939,FF
Jodie,SabrinatheWitch,1.2836909294128418,FF
Abigail,April,1.288442850112915,FF
Bell,Millie,1.290594458580017,FF
Abigail,Echo,1.2919213771820068,FF
Norah,Nova,1.2923544645309448,FF
Lydia,Natalie,1.2955337762832642,FF
Chloe,Nova,1.2997137308120728,FF
Lydia,Rebecca,1.3053855895996094,FF
Abigail,MrsClaus,1.3253026008605957,FF
Jenna,Liz,1.3296966552734375,FF
Kelsey,Olivia,1.332624435424805,FF
Lydia,Stephanie,1.337934136390686,FF
Lindsay,Stephanie,1.3448880910873413,FF
Abigail,Rebecca,1.3459211587905884,FF
Avery,Carol,1.3461514711380005,FF
Nova,Skylar,1.347051739692688,FF
Lydia,Margaret,1.3479775190353394,FF
Alex,Vivien,1.3496102094650269,FF
Alex,Lindsay,1.3501943349838257,FF
Kristen,Nova,1.3515933752059937,FF
Echo,Rebecca,1.3532729148864746,FF
Liz,Lydia,1.354244828224182,FF
AnnabelletheGhost,Stephanie,1.3546901941299438,FF
Lydia,Olivia,1.3554301261901855,FF
Janet,Tessa,1.365648865699768,FF
Carol,Natalie,1.3669222593307495,FF
Jennifer,Margaret,1.366949200630188,FF
Carol,Kelsey,1.367617130279541,FF
AnnabelletheGhost,Lindsay,1.3719953298568726,FF
Harper,Katie,1.3721590042114258,FF
AnnabelletheGhost,Olivia,1.3772501945495603,FF
Jenna,Millie,1.3783355951309204,FF
Abigail,Athena,1.3792824745178225,FF
Helena,Liz,1.3804850578308103,FF
Charlotte,Jodie,1.3842549324035645,FF
Helena,Vanessa,1.3876686096191406,FF
Amber,Kristen,1.3878058195114136,FF
April,Norah,1.3910211324691772,FF
Norah,SabrinatheWitch,1.3915787935256958,FF
Chloe,Natalie,1.3930236101150513,FF
Doughnut,Helena,1.3948116302490234,FF
Alex,Vanessa,1.3972800970077517,FF
Abigail,Natalie,1.401756763458252,FF
Carol,Stephanie,1.4038180112838743,FF
Carol,ReporterCatalina,1.4048773050308228,FF
Athena,Patricia,1.4062522649765017,FF
Helena,Lydia,1.408113956451416,FF
April,MrsClaus,1.4091492891311646,FF
AnnabelletheGhost,SabrinatheWitch,1.4106823205947876,FF
Athena,Echo,1.410938739776611,FF
Bell,Stephanie,1.4113553762435913,FF
MrsClaus,SabrinatheWitch,1.411476492881775,FF
Amber,Natalie,1.4116826057434082,FF
Doughnut,Liz,1.4157270193099976,FF
Mia,Rebecca,1.4168157577514648,FF
Jenna,Stephanie,1.4199284315109253,FF
Audrey,Natalie,1.421545386314392,FF
MrsClaus,Samantha,1.421995759010315,FF
Lydia,SabrinatheWitch,1.4220741987228394,FF
Alex,Sara,1.4223837852478027,FF
Doughnut,Lindsay,1.42350971698761,FF
Camila,Lydia,1.4241379499435425,FF
Charlotte,SabrinatheWitch,1.4248775243759155,FF
Shana,Sylvia,1.425818920135498,FF
Kelsey,ReporterCatalina,1.426313400268555,FF
Lydia,Nana,1.4272089004516602,FF
Katie,Samantha,1.428338885307312,FF
Olivia,SabrinatheWitch,1.4303017854690552,FF
Kelsey,Liz,1.4309048652648926,FF
Margaret,Rita,1.4318760633468628,FF
Carol,Olivia,1.4321292638778689,FF
Amber,MrsClaus,1.433215618133545,FF
Athena,Samantha,1.434350609779358,FF
Lindsay,Olivia,1.4385700225830078,FF
Alex,Bell,1.4387844800949097,FF
Carol,Margaret,1.4395040273666382,FF
Camila,Helena,1.440466046333313,FF
Claire,Margaret,1.4446371793746948,FF
Amber,Rebecca,1.4451998472213743,FF
Kristen,Norah,1.4454870223999023,FF
Harper,Lindsay,1.4458850622177124,FF
Harper,Jenna,1.4460114240646362,FF
Kristen,Natalie,1.4462575912475586,FF
Nia,Skylar,1.4482170343399048,FF
April,Echo,1.4482415914535522,FF
Harper,Lydia,1.4490199089050293,FF
Avery,Natalie,1.449302077293396,FF
Mia,Sylvia,1.451987624168396,FF
Amber,April,1.4524773359298706,FF
Nana,Natalie,1.4536266326904297,FF
Emma,Harper,1.453933835029602,FF
Maisie,Sylvia,1.45498788356781,FF
Maisie,Natalie,1.4577583074569702,FF
Angela,Claire,1.4600297212600708,FF
Lydia,Maisie,1.4605120420455933,FF
Jodie,Lydia,1.462391018867493,FF
Echo,Natalie,1.462557315826416,FF
Kelsey,Nana,1.4630203247070312,FF
Emma,Lindsay,1.4640976190567017,FF
Carol,Rebecca,1.4642022848129272,FF
Natalie,Norah,1.464496612548828,FF
April,Athena,1.4646631479263306,FF
AnnabelletheGhost,Helena,1.4653316736221311,FF
Bell,Helena,1.4656676054000854,FF
April,Rebecca,1.466275691986084,FF
Rebecca,Verna,1.4670462608337402,FF
Oliver,Verna,1.4671629667282104,FF
Avery,Jennifer,1.4686040878295898,FF
Oliver,Tessa,1.4689465761184692,FF
Lydia,Vanessa,1.4702987670898438,FF
Kelsey,Natalie,1.4704605340957642,FF
Doughnut,Millie,1.4714347124099731,FF
Lindsay,Lydia,1.471706748008728,FF
Camila,Stephanie,1.4722485542297363,FF
Camila,Liz,1.4730244874954224,FF
Katie,Lydia,1.4733818769454956,FF
Carol,Jenna,1.4742439985275269,FF
Harper,Natalie,1.474423050880432,FF
Samantha,Sophia,1.4748252630233765,FF
Charlotte,Lydia,1.4748455286026,FF
Abigail,Verna,1.4776434898376465,FF
Abigail,Lydia,1.4783424139022827,FF
Nana,SabrinatheWitch,1.4783505201339722,FF
Jenna,Vanessa,1.4796525239944458,FF
Carol,SabrinatheWitch,1.4796770811080933,FF
Shana,Victoria,1.4803284406661987,FF
Helena,Lindsay,1.4813488721847534,FF
Caitlyn,Vivien,1.481393337249756,FF
Margaret,Natalie,1.4828602075576782,FF
AnnabelletheGhost,Rebecca,1.483188271522522,FF
Abigail,Nova,1.4834638833999634,FF
Margaret,Nana,1.4850783348083496,FF
Harper,Vanessa,1.485089898109436,FF
Glenda,ReporterCatalina,1.4859126806259155,FF
Claire,Sylvia,1.4860743284225464,FF
Jenna,Starling,1.4861723184585571,FF
Camila,Nana,1.486227035522461,FF
Natalie,SabrinatheWitch,1.487712264060974,FF
Jenna,Olivia,1.4883912801742554,FF
Nia,Norah,1.4886435270309448,FF
Amber,Chloe,1.4886727333068848,FF
Abigail,Mia,1.4890278577804563,FF
Helena,Olivia,1.4910439252853394,FF
Rebecca,Stephanie,1.4911822080612185,FF
Athena,Natalie,1.4929184913635254,FF
Doughnut,Stephanie,1.4934258460998535,FF
Echo,Nova,1.4936858415603638,FF
Natalie,Rachel,1.4937571287155151,FF
Norah,Skylar,1.4941989183425903,FF
Harper,Norah,1.4946203231811523,FF
Rebecca,SabrinatheWitch,1.4947772026062012,FF
Jennifer,Lydia,1.4955692291259766,FF
Claire,Shana,1.4959720373153689,FF
Carol,Liz,1.496051788330078,FF
Avery,ReporterCatalina,1.4980201721191406,FF
Amber,Jodie,1.4985421895980835,FF
Rachel,Shana,1.4986733198165894,FF
Charlotte,Helena,1.4987891912460327,FF
AnnabelletheGhost,Bell,1.5006948709487915,FF
AnnabelletheGhost,Camila,1.5017484426498413,FF
Carol,Harper,1.5021095275878906,FF
Jodie,Olivia,1.5021878480911257,FF
Lydia,ReporterCatalina,1.502848505973816,FF
Harper,Nana,1.503219485282898,FF
April,Nova,1.5036271810531616,FF
Mia,Norah,1.503859519958496,FF
Rachel,Sylvia,1.5050477981567385,FF
Amber,Lydia,1.5054351091384888,FF
Abigail,SabrinatheWitch,1.5057592391967771,FF
Shana,Vivien,1.5066882371902466,FF
Helena,Kelsey,1.508331298828125,FF
April,Chloe,1.5090879201889038,FF
AnnabelletheGhost,Doughnut,1.5101298093795776,FF
Abigail,Sylvia,1.5101855993270874,FF
Glenda,Rachel,1.510627269744873,FF
Mia,Nia,1.511001706123352,FF
Natalie,Sylvia,1.512977123260498,FF
Catherine,Sylvia,1.513319492340088,FF
Nova,Vivien,1.5133728981018066,FF
AnnabelletheGhost,Charlotte,1.5140303373336792,FF
Caitlyn,Nova,1.5143966674804688,FF
Lindsay,Liz,1.514593482017517,FF
Patricia,Samantha,1.515760064125061,FF
Angela,Shana,1.516814112663269,FF
April,Natalie,1.5168722867965698,FF
Grace,Margot,1.5176424980163574,FF
Shana,Skylar,1.5179227590560913,FF
Lydia,Sylvia,1.5181268453598022,FF
Echo,Norah,1.5182757377624512,FF
April,Patricia,1.5217691659927368,FF
Charlotte,Liz,1.522247314453125,FF
Echo,Verna,1.5229172706604004,FF
Avery,Kelsey,1.5230140686035156,FF
April,Carol,1.523342251777649,FF
Natalie,Samantha,1.523664116859436,FF
Natalie,Olivia,1.5242539644241333,FF
Natalie,Shana,1.5242986679077148,FF
Nana,Stephanie,1.5245281457901,FF
Nova,Verna,1.5247329473495483,FF
Katie,Margaret,1.526448130607605,FF
Carol,Echo,1.526544213294983,FF
Kelsey,Lydia,1.5265628099441528,FF
Claire,Nana,1.5267963409423828,FF
Chloe,ReporterCatalina,1.5270904302597046,FF
Natalie,ReporterCatalina,1.5281906127929688,FF
Chloe,Sylvia,1.528784155845642,FF
Alex,Camila,1.5289875268936155,FF
Bell,Liz,1.5290590524673462,FF
Abigail,Jodie,1.529667854309082,FF
Lydia,Norah,1.5302914381027222,FF
Harper,Vivien,1.5303597450256348,FF
Amber,Nova,1.53081214427948,FF
Amber,Sophia,1.532855987548828,FF
ReporterCatalina,SabrinatheWitch,1.533830165863037,FF
Norah,Rebecca,1.5356287956237793,FF
Nana,Norah,1.535658836364746,FF
April,Lydia,1.5358365774154663,FF
Avery,Jenna,1.5359050035476685,FF
Harper,Skylar,1.5359697341918943,FF
Jennifer,Kelsey,1.53691828250885,FF
Olivia,Stephanie,1.537030577659607,FF
Lindsay,Nana,1.5370696783065796,FF
Kelsey,Rachel,1.5378369092941284,FF
Abigail,Victoria,1.5378693342208862,FF
AnnabelletheGhost,Jenna,1.538440823554993,FF
Norah,Samantha,1.5384982824325562,FF
April,Sophia,1.5387810468673706,FF
Catherine,Rachel,1.5392441749572754,FF
Lydia,Sara,1.539663314819336,FF
Nia,Oliver,1.5396934747695925,FF
Athena,MrsClaus,1.539887309074402,FF
Chloe,Olivia,1.5400103330612185,FF
AnnabelletheGhost,Liz,1.540958046913147,FF
Angela,Nova,1.5436482429504397,FF
Avery,Lydia,1.5455816984176636,FF
Helena,Vivien,1.5456055402755735,FF
Doughnut,Olivia,1.5459165573120115,FF
Nova,Shana,1.5463849306106567,FF
Claire,Jennifer,1.5464749336242676,FF
Olivia,ReporterCatalina,1.546889305114746,FF
Nova,Paige,1.5474247932434082,FF
Oliver,Shana,1.5474909543991089,FF
MrsClaus,Tessa,1.5478378534317017,FF
Emma,Jenna,1.5478724241256714,FF
Carol,Charlotte,1.5479429960250854,FF
Margaret,Sylvia,1.548392653465271,FF
Caitlyn,Norah,1.548411250114441,FF
Chloe,Norah,1.548632264137268,FF
Chloe,Maisie,1.549718737602234,FF
Amber,Norah,1.5500235557556152,FF
Natalie,Nova,1.5505026578903198,FF
MrsClaus,Natalie,1.5508413314819336,FF
Lucille,Victoria,1.553017020225525,FF
Charlotte,Sylvia,1.5533561706542969,FF
Katie,Stephanie,1.554438233375549,FF
Abigail,Margaret,1.5548001527786257,FF
SabrinatheWitch,Verna,1.5558761358261108,FF
MrsClaus,Norah,1.5560827255249023,FF
Katie,SabrinatheWitch,1.5564250946044922,FF
Jenna,Margaret,1.5566776990890503,FF
Liz,Stephanie,1.556970715522766,FF
Jodie,Natalie,1.557184815406799,FF
Carol,Maisie,1.5577071905136108,FF
Camila,Harper,1.5578464269638062,FF
Abigail,Norah,1.5582042932510376,FF
Jenna,Kelsey,1.559598088264465,FF
Jenna,Katie,1.5596922636032104,FF
Abigail,ReporterCatalina,1.5597352981567385,FF
Lydia,Vivien,1.5606809854507446,FF
SabrinatheWitch,Stephanie,1.5613102912902832,FF
Claire,Natalie,1.561825394630432,FF
Carol,Vanessa,1.5619291067123413,FF
Lindsay,Vanessa,1.5626064538955688,FF
Echo,Kristen,1.5642765760421753,FF
Mia,Nova,1.5647770166397097,FF
Mia,Verna,1.565104842185974,FF
Charlotte,Jennifer,1.565323829650879,FF
April,Samantha,1.5660127401351929,FF
Carol,Helena,1.5662530660629272,FF
Avery,Norah,1.5671483278274536,FF
Natalie,Skylar,1.5673807859420776,FF
AnnabelletheGhost,Millie,1.568006992340088,FF
Jodie,Sylvia,1.568325161933899,FF
Lydia,Starling,1.568625807762146,FF
Kelsey,Margaret,1.568832516670227,FF
Rachel,Vivien,1.5689992904663086,FF
Chloe,Kristen,1.5690913200378418,FF
Amber,Margaret,1.5691975355148315,FF
Tessa,Verna,1.5692235231399536,FF
Nova,Rebecca,1.5693551301956177,FF
Charlotte,Chloe,1.5699691772460938,FF
Echo,MrsClaus,1.5709675550460815,FF
Natalie,Rebecca,1.571205735206604,FF
Harper,Margaret,1.5714179277420044,FF
Alex,Doughnut,1.5715750455856323,FF
Helena,Sylvia,1.5722018480300903,FF
Millie,Starling,1.5724902153015137,FF
Jennifer,Natalie,1.572512984275818,FF
Camila,Carol,1.5728449821472168,FF
Natalie,Vanessa,1.5732804536819458,FF
Norah,Sylvia,1.573447585105896,FF
Camila,Olivia,1.573844075202942,FF
Carol,Chloe,1.5744495391845703,FF
Chloe,Skylar,1.575190544128418,FF
Abigail,Kristen,1.5752242803573608,FF
Natalie,Patricia,1.5753229856491089,FF
April,Jodie,1.5761269330978394,FF
Carol,Sara,1.5763702392578125,FF
Amber,Carol,1.5765331983566284,FF
Catherine,Claire,1.5766515731811523,FF
Abigail,Sophia,1.5770946741104126,FF
Liz,Natalie,1.5772088766098022,FF
Kristen,Nia,1.5777724981307983,FF
Camila,Starling,1.5778498649597168,FF
Athena,Kristen,1.578515887260437,FF
April,Charlotte,1.578542709350586,FF
Maisie,Mia,1.5787864923477173,FF
Amber,SabrinatheWitch,1.5788475275039673,FF
Jodie,Liz,1.5789709091186523,FF
Helena,Millie,1.5796104669570925,FF
Jennifer,Starling,1.5798920392990112,FF
Harper,Jennifer,1.5799371004104614,FF
Jodie,Viqqie,1.579938530921936,FF
Echo,Oliver,1.5801855325698853,FF
Camila,Charlotte,1.5802645683288574,FF
Abigail,Samantha,1.5806492567062378,FF
Carol,Katie,1.5811233520507812,FF
Chloe,Patricia,1.581147074699402,FF
Millie,Nana,1.5819512605667114,FF
Rachel,ReporterCatalina,1.582093596458435,FF
Abigail,Chloe,1.5825252532958984,FF
Nia,Shana,1.5827999114990234,FF
Carol,Doughnut,1.583362698554993,FF
Echo,Margaret,1.583798050880432,FF
Camila,Emma,1.5840197801589966,FF
