name1,name2,distance,group
Chester,Oliver,1.419209599494934,MF
Chester,Nia,1.4555846452713013,MF
DollarJr,Oliver,1.4935108423233032,MF
Mia,Slushy,1.5535486936569214,MF
Oliver,Slushy,1.5787372589111328,MF
Carlos,Oliver,1.587637424468994,MF
Logan,Margot,1.6015033721923828,MF
Dean,Shana,1.6042591333389282,MF
Dean,MrsClaus,1.6105908155441284,MF
JackoLantern,Margot,1.6153740882873535,MF
JackoLantern,ReporterCatalina,1.618278980255127,MF
Chester,Mia,1.6225470304489136,MF
JackoLantern,Shana,1.6232572793960571,MF
Chester,Nova,1.6279911994934082,MF
Logan,Verna,1.6289421319961548,MF
Nia,Slushy,1.634848713874817,MF
Ryan,Shana,1.6348791122436523,MF
Chester,Shana,1.6357916593551636,MF
JackoLantern,Oliver,1.6391383409500122,MF
Logan,Shana,1.6429166793823242,MF
ReporterCatalina,Ryan,1.6467924118041992,MF
Rachel,Ryan,1.648314118385315,MF
Chester,Tessa,1.6494706869125366,MF
Matthew,Shana,1.653304100036621,MF
Dean,SabrinatheWitch,1.6555501222610474,MF
Audrey,JackoLantern,1.656954646110535,MF
Carlos,ReporterCatalina,1.657338261604309,MF
Nathan,Shana,1.6574753522872925,MF
Carol,JackoLantern,1.658521294593811,MF
Oliver,Simon,1.6600881814956665,MF
DollarJr,ReporterCatalina,1.661107063293457,MF
JackoLantern,Nana,1.661624312400818,MF
Abigail,Chester,1.663963794708252,MF
Dean,Oliver,1.6691895723342896,MF
Shana,Slushy,1.6707887649536133,MF
Eman,ReporterCatalina,1.671802043914795,MF
Cole,ReporterCatalina,1.6735916137695312,MF
JackoLantern,Victoria,1.673959732055664,MF
Dean,Verna,1.6748086214065552,MF
Grace,JackoLantern,1.682421088218689,MF
Abigail,Dean,1.684909462928772,MF
Chester,Natalie,1.6849913597106934,MF
Matthew,Rachel,1.688213348388672,MF
Nana,Nathan,1.6891967058181765,MF
Dean,Rachel,1.6906366348266602,MF
Larry,Shana,1.6912511587142944,MF
Logan,Lucille,1.6916707754135132,MF
Larry,Verna,1.6924508810043335,MF
Natalie,Ryan,1.6930221319198608,MF
Dean,Tessa,1.695067048072815,MF
JackoLantern,Natalie,1.695466160774231,MF
Ryan,SabrinatheWitch,1.7006330490112305,MF
Slushy,Sylvia,1.700941562652588,MF
Dan,Verna,1.7010363340377808,MF
Dean,Victoria,1.7023829221725464,MF
Larry,Rachel,1.7024661302566528,MF
Nathan,ReporterCatalina,1.7042614221572876,MF
Doug,ReporterCatalina,1.7062658071517944,MF
Kevin,ReporterCatalina,1.7068644762039185,MF
ReporterCatalina,Wade,1.7079476118087769,MF
Chester,Verna,1.7084406614303589,MF
Abigail,Joshua,1.708877444267273,MF
Jennifer,Wade,1.7093558311462402,MF
Joshua,Shana,1.7116246223449707,MF
Dan,ReporterCatalina,1.7117104530334473,MF
Noa,Rachel,1.712849497795105,MF
Chester,ReporterCatalina,1.714236855506897,MF
JackoLantern,Norah,1.7146258354187012,MF
Logan,Rachel,1.7146791219711304,MF
Dean,Sylvia,1.7167290449142456,MF
Gus,Oliver,1.717078685760498,MF
JackoLantern,SabrinatheWitch,1.7172154188156128,MF
Verna,Wade,1.7173476219177246,MF
Dean,Jodie,1.7174324989318848,MF
Damian,Oliver,1.7181237936019895,MF
Jimmy,Victoria,1.7188717126846311,MF
Abigail,Logan,1.7202831506729126,MF
Neel,ReporterCatalina,1.7217373847961426,MF
Jodie,Ryan,1.7222448587417605,MF
Nana,Simon,1.723482608795166,MF
Shana,Xavier,1.7247530221939087,MF
Chester,Sylvia,1.7251816987991333,MF
Dean,Natalie,1.7281087636947632,MF
Margaret,Nathan,1.7285571098327637,MF
Matthew,Vivien,1.7295762300491333,MF
Chester,Nana,1.73031747341156,MF
Caitlyn,JackoLantern,1.7307395935058594,MF
