name1,name2,distance,group
Larry,Wade,0.925199568271637,MM
Dean,Larry,0.932956874370575,MM
Dan,Kevin,1.021309494972229,MM
Bruce,Lloyd,1.0335723161697388,MM
Dean,Wade,1.0589338541030884,MM
Carlos,DollarJr,1.070440411567688,MM
Aiden,Cole,1.0969120264053345,MM
Cole,Ryan,1.0987099409103394,MM
Neoguard,PN,1.154642105102539,MM
Brad,Oscar,1.1945937871932983,MM
Brad,Nathan,1.2012662887573242,MM
KlipKim,Rudolph,1.2013064622879028,MM
KlipKim,Peter,1.2153005599975586,MM
Jack,Liam,1.217524528503418,MM
Mark,NewscasterJohn,1.2191377878189087,MM
Brad,Eman,1.2212867736816406,MM
Nathan,Oscar,1.232882738113403,MM
Justin,Tim,1.247254490852356,MM
Noa,PN,1.2576658725738523,MM
Neoguard,Noa,1.2711511850357056,MM
Michael,Santa,1.27983295917511,MM
NewscasterJohn,Philip,1.2938814163208008,MM
Aiden,Ryan,1.29922354221344,MM
Rudolph,Vincent,1.3174755573272705,MM
Eman,Oscar,1.3188127279281616,MM
David,Xavier,1.3296900987625122,MM
Graham,Neel,1.338185429573059,MM
Cyrus,Royce,1.339590549468994,MM
Jake,Neoguard,1.3400267362594604,MM
Jake,PN,1.3422036170959473,MM
Philip,Tyson,1.3451052904129028,MM
Doug,Robert,1.3451277017593384,MM
Aiden,Dan,1.3492798805236816,MM
Rudolph,Walter,1.3553420305252075,MM
Cyrus,West,1.3565162420272827,MM
Eman,Nathan,1.3573585748672483,MM
Buddy,Furnando,1.359164118766785,MM
Chester,Slushy,1.3687487840652466,MM
Ben,Owen,1.3702036142349243,MM
Peter,Rudolph,1.37795889377594,MM
Jake,KlipKim,1.3791624307632446,MM
Dan,Ravi,1.3794986009597778,MM
Cole,Noa,1.37998628616333,MM
Matthew,Noa,1.390215516090393,MM
KlipKim,Vincent,1.3942012786865234,MM
Nathan,Noa,1.394745707511902,MM
Brad,Walter,1.396186351776123,MM
Liam,Oscar,1.4020380973815918,MM
DollarJr,Jackson,1.4042311906814575,MM
Callan,Landon,1.4044322967529297,MM
Aiden,George,1.413664698600769,MM
Aiden,Noa,1.417912483215332,MM
Carlos,Jackson,1.4187039136886597,MM
Kevin,Ravi,1.4208632707595823,MM
Cole,Neoguard,1.422873854637146,MM
KlipKim,Noa,1.4230213165283203,MM
Matthew,PN,1.4231823682785034,MM
George,Xavier,1.424979329109192,MM
Dean,Santa,1.425526738166809,MM
Dean,Walter,1.4297523498535156,MM
Matthew,Walter,1.430778980255127,MM
Jackson,Tim,1.431050181388855,MM
KlipKim,Neoguard,1.4311838150024414,MM
Ron,Viktor,1.4359078407287598,MM
Carlos,Tim,1.4368910789489746,MM
NewscasterJohn,Tyson,1.4430795907974243,MM
David,Joshua,1.443121075630188,MM
Noa,Oscar,1.444339394569397,MM
Cole,George,1.4448412656784058,MM
Carl,Xavier,1.446680188179016,MM
KlipKim,Nathan,1.4476996660232544,MM
River,Tim,1.4479933977127075,MM
Dan,George,1.4480949640274048,MM
Dylan,Nathan,1.448811173439026,MM
Dean,Ryan,1.4498157501220703,MM
Dean,George,1.452034592628479,MM
KlipKim,PN,1.452652931213379,MM
Jake,Noa,1.453440546989441,MM
George,Larry,1.4567646980285645,MM
Matthew,Rudolph,1.4612274169921875,MM
Caleb,Neoguard,1.4613884687423706,MM
Jake,Rudolph,1.462053298950195,MM
Matthew,Ryan,1.4621731042861938,MM
Buddy,Royce,1.46379292011261,MM
Dean,Gus,1.4641523361206057,MM
KlipKim,Liam,1.4663063287734983,MM
Dylan,Landon,1.4672635793685913,MM
Doug,Hugh,1.467469334602356,MM
Cole,Dean,1.467480182647705,MM
Carlos,JackoLantern,1.4726223945617676,MM
Aaron,Liam,1.47398579120636,MM
Dylan,Xavier,1.4746402502059937,MM
Bruce,Doug,1.4748592376708984,MM
KlipKim,Walter,1.4752516746520996,MM
Noa,Ryan,1.4757298231124878,MM
Peter,Vincent,1.4796611070632937,MM
Matthew,Neoguard,1.481141209602356,MM
Eman,Peter,1.481952667236328,MM
Aaron,KlipKim,1.4850009679794312,MM
Liam,West,1.48640775680542,MM
Damian,Dylan,1.4865578413009644,MM
Joshua,Xavier,1.4866042137145996,MM
Dan,Eman,1.4874138832092283,MM
Damian,KlipKim,1.487523078918457,MM
Brad,Noa,1.4892500638961792,MM
KlipKim,Oscar,1.4897276163101196,MM
Ben,Joshua,1.491552472114563,MM
Justin,River,1.493070125579834,MM
Ravi,Xavier,1.4954229593276978,MM
George,Noa,1.4958356618881226,MM
Aiden,Dylan,1.496243953704834,MM
Dylan,Noa,1.4965558052062988,MM
Dan,KlipKim,1.4965606927871704,MM
Cole,Gus,1.4970864057540894,MM
Dan,Nathan,1.4991215467453003,MM
Jake,Matthew,1.5003714561462402,MM
Jake,Peter,1.500436782836914,MM
Chester,DollarJr,1.5016847848892212,MM
Cole,Dylan,1.5019344091415403,MM
Icarus,UncleHank,1.5037182569503784,MM
Eman,Walter,1.505015850067139,MM
Caleb,KlipKim,1.508888602256775,MM
Dylan,Ravi,1.51112699508667,MM
Carlos,Chester,1.511867880821228,MM
Edward,Matthew,1.5119022130966189,MM
Cole,Dan,1.5126399993896484,MM
Graham,Liam,1.5165833234786987,MM
Cyrus,Neel,1.5168544054031372,MM
Liam,Philip,1.5196329355239868,MM
Aaron,Dan,1.5198124647140503,MM
George,Nathan,1.5198577642440796,MM
George,Neoguard,1.5221797227859497,MM
Bruce,Jack,1.523269534111023,MM
Oscar,Walter,1.523367404937744,MM
Dan,Joshua,1.5286682844161987,MM
KlipKim,Matthew,1.529984474182129,MM
Damian,Neoguard,1.5313968658447266,MM
Chester,JackoLantern,1.5323796272277832,MM
Dean,Matthew,1.5326131582260132,MM
Eman,KlipKim,1.5327023267745972,MM
Brad,Larry,1.5329465866088867,MM
Larry,Ryan,1.533161997795105,MM
Rex,Walter,1.534536361694336,MM
Aaron,Nathan,1.535467267036438,MM
Carl,Dylan,1.536249756813049,MM
Caleb,PN,1.5386251211166382,MM
Doug,Lloyd,1.538692831993103,MM
Tim,Xavier,1.5409150123596191,MM
Edward,Keybo,1.5409208536148071,MM
Oscar,Peter,1.542286038398743,MM
Caleb,Dan,1.542507290840149,MM
Carlos,Justin,1.5425825119018557,MM
Aaron,Landon,1.542805314064026,MM
Aaron,Noa,1.543294906616211,MM
Callan,Liam,1.545209884643555,MM
Justin,Xavier,1.5456801652908323,MM
Aaron,Oscar,1.546105980873108,MM
Jack,Oscar,1.5472348928451538,MM
Neoguard,Ryan,1.5475965738296509,MM
Brad,Rudolph,1.5478272438049316,MM
Aiden,Neoguard,1.5487346649169922,MM
Joshua,Ryan,1.54901123046875,MM
DollarJr,Tim,1.5494664907455444,MM
Eman,Rudolph,1.5499390363693235,MM
Elias,JackoLantern,1.5501707792282104,MM
PN,Rudolph,1.553301215171814,MM
Owen,Tyson,1.5541261434555054,MM
Brad,Dean,1.5542044639587402,MM
Carlos,Owen,1.554256558418274,MM
Caleb,Rudolph,1.5544720888137815,MM
Dan,Sean,1.5545902252197266,MM
Jack,Larry,1.5554360151290894,MM
Nathan,Xavier,1.5554579496383667,MM
Dan,Xavier,1.555583119392395,MM
Larry,Walter,1.5559526681900024,MM
Aiden,Oscar,1.5563403367996216,MM
Gus,Henry,1.556644082069397,MM
Dean,Xavier,1.557015061378479,MM
Cole,Larry,1.5573886632919312,MM
DollarJr,Simon,1.5574469566345217,MM
Nathan,Tim,1.557586669921875,MM
George,Kevin,1.5576027631759644,MM
Dan,Noa,1.5576621294021606,MM
George,KlipKim,1.557805061340332,MM
Dylan,Liam,1.559673309326172,MM
Caleb,Dean,1.5596851110458374,MM
Gus,Ryan,1.5602346658706665,MM
Buddy,Gus,1.5603841543197632,MM
Caleb,Vincent,1.5608487129211426,MM
Callan,Eman,1.5619267225265503,MM
Neoguard,Oscar,1.5623011589050293,MM
Cole,Joshua,1.563438057899475,MM
Liam,Peter,1.5639420747756958,MM
Peter,Walter,1.5639523267745972,MM
Joshua,Rex,1.564106583595276,MM
Brad,KlipKim,1.5652121305465698,MM
Caleb,George,1.5659257173538208,MM
Aaron,Callan,1.5662107467651367,MM
Brad,Peter,1.5663681030273438,MM
KlipKim,Landon,1.5665358304977417,MM
Landon,Liam,1.568124294281006,MM
Chad,Cyrus,1.5686606168746948,MM
Aaron,Jack,1.5688109397888184,MM
Bruce,Henry,1.5688554048538208,MM
Caleb,Jack,1.5692459344863892,MM
Damian,Gus,1.5702415704727173,MM
Caleb,Oscar,1.5703662633895874,MM
Michael,Sindarin,1.5707060098648071,MM
Aiden,Larry,1.571048617362976,MM
Caleb,Rex,1.5718883275985718,MM
Aiden,Joshua,1.5722198486328125,MM
Michael,Neoguard,1.5722661018371582,MM
Damian,Dean,1.5728282928466797,MM
Furnando,Jack,1.573207974433899,MM
Dean,Noa,1.573743224143982,MM
Aaron,Damian,1.5745453834533691,MM
Dylan,Neoguard,1.575467586517334,MM
George,Jake,1.5757335424423218,MM
Carlos,Matthew,1.575883388519287,MM
Dean,Jack,1.57595694065094,MM
Graham,Royce,1.5766545534133911,MM
Damian,PN,1.576744556427002,MM
Chad,Neel,1.5771323442459106,MM
Aaron,Kevin,1.5772632360458374,MM
Kevin,KlipKim,1.577354907989502,MM
Larry,Nathan,1.578035831451416,MM
Neoguard,Santa,1.578537106513977,MM
Liam,Ravi,1.5794175863265991,MM
Dan,Neoguard,1.5798147916793823,MM
Ryan,Slushy,1.579994797706604,MM
Brad,Chad,1.5802927017211914,MM
KlipKim,Ravi,1.5806527137756348,MM
KlipKim,Xavier,1.5812859535217283,MM
Furnando,Philip,1.5827113389968872,MM
Nathan,Walter,1.5828975439071655,MM
Aaron,Chad,1.5829362869262695,MM
Carlos,Logan,1.5831290483474731,MM
Aaron,Neel,1.583277702331543,MM
Aaron,Joshua,1.583685278892517,MM
Dan,Peter,1.583845138549805,MM
Graham,Philip,1.584600806236267,MM
Kevin,Nathan,1.5847402811050415,MM
Aaron,Ravi,1.5856949090957642,MM
Dylan,PN,1.5870894193649292,MM
Joshua,Tim,1.5871719121932983,MM
George,PN,1.5875906944274902,MM
Mark,Philip,1.5877641439437866,MM
Aaron,Peter,1.5879651308059692,MM
Noa,Walter,1.5884541273117063,MM
Benny,Dylan,1.5886331796646118,MM
Chad,Noa,1.588739991188049,MM
Oscar,Ryan,1.5888524055480957,MM
Oscar,Rudolph,1.589055061340332,MM
KlipKim,Michael,1.5890933275222778,MM
Aaron,Neoguard,1.589553952217102,MM
Caleb,Jake,1.5897983312606812,MM
Cole,Matthew,1.5902814865112305,MM
Graham,KlipKim,1.5903338193893433,MM
Caleb,Walter,1.590993046760559,MM
Dylan,KlipKim,1.591190218925476,MM
Dylan,Oscar,1.591508865356445,MM
Neel,Royce,1.5916428565979004,MM
Aiden,KlipKim,1.5923713445663452,MM
Michael,Rudolph,1.5925321578979492,MM
Gus,Joshua,1.592601299285889,MM
Brad,Dan,1.5928378105163574,MM
Buddy,Cyrus,1.593706130981445,MM
Eman,Noa,1.593941569328308,MM
Damian,Liam,1.594492793083191,MM
Jackson,Justin,1.5945109128952026,MM
Landon,Nathan,1.5945204496383667,MM
JackoLantern,Logan,1.5945476293563845,MM
Caleb,Santa,1.5955276489257812,MM
Callan,Oscar,1.5957322120666504,MM
Dean,Rudolph,1.5957436561584473,MM
Aiden,Xavier,1.596272349357605,MM
Cole,DollarJr,1.5966119766235352,MM
Logan,River,1.5968040227890017,MM
Chad,Landon,1.5972174406051636,MM
Aiden,Nathan,1.5972434282302856,MM
Liam,Walter,1.59785258769989,MM
Eman,Henry,1.5985270738601685,MM
Matthew,Michael,1.5989956855773926,MM
Chase,Jackson,1.5993231534957886,MM
Dean,Nathan,1.5997051000595093,MM
Santa,Walter,1.5997809171676636,MM
Dan,Vincent,1.6001776456832886,MM
Neoguard,Peter,1.600518822669983,MM
Caleb,Damian,1.6005898714065552,MM
Larry,Oscar,1.6006250381469729,MM
PN,Vincent,1.60073721408844,MM
Buddy,Chad,1.6009039878845217,MM
Bruce,Furnando,1.6012603044509888,MM
Dan,Oscar,1.6015640497207642,MM
PN,Philip,1.6018093824386597,MM
