name1,name2,distance,group
Patrick,Simon,2.187666416168213,MM
Carlos,Rex,2.0010273456573486,MM
KilliantheVampire,Peter,2.140986442565918,MM
Jimmy,Tyson,2.1910769939422607,MM
Viktor,Walter,2.2318215370178223,MM
Benny,Lloyd,2.0410876274108887,MM
Jake,Viktor,2.2114927768707275,MM
Duke,Owen,2.240220785140991,MM
Rusty,Tim,2.053703546524048,MM
Brad,Jeff,2.0831222534179688,MM
KilliantheVampire,Rudolph,2.1086418628692627,MM
Kevin,Patrick,2.0240819454193115,MM
Cyrus,Hugh,2.0010550022125244,MM
Logan,Patrick,2.1508491039276123,MM
Cole,UncleHank,2.069669008255005,MM
Hugh,SantaClaus,2.1872718334198,MM
Oscar,Viktor,2.025808095932007,MM
Landon,Santa,2.009235143661499,MM
Hans,Neoguard,2.006431579589844,MM
Ben,KilliantheVampire,2.130617141723633,MM
Mark,West,2.120633840560913,MM
Oscar,UncleHank,2.004436731338501,MM
Bruce,Ryan,2.018091917037964,MM
Dean,Icarus,2.0200355052948,MM
Callan,Chase,2.000385284423828,MM
DollarJr,SantaClaus,2.113714694976806,MM
Joshua,Ron,2.0606212615966797,MM
Edward,Ravi,2.1352593898773193,MM
Chase,Robert,2.0015430450439453,MM
David,Rusty,2.0917985439300537,MM
JackoLantern,SantaClaus,2.008599042892456,MM
Lloyd,Tyson,2.062974691390991,MM
Noa,Rusty,2.0772204399108887,MM
Frankenstein,Simon,2.135446786880493,MM
Edward,Philip,2.086965322494507,MM
JackoLantern,Ron,2.003960609436035,MM
Hugh,Santa,2.075773239135742,MM
Bruce,Chase,2.0028076171875,MM
Edward,Neel,2.0660815238952637,MM
Keybo,Vincent,2.053927421569824,MM
Benny,Philip,2.0120694637298584,MM
Henry,Owen,2.0374631881713867,MM
Hans,Jack,2.01232647895813,MM
Cole,Rusty,2.138795852661133,MM
KlipKim,Mark,2.0113465785980225,MM
Edward,Ron,2.2059357166290283,MM
Caleb,Owen,2.0050947666168213,MM
Nathan,UncleHank,2.0322933197021484,MM
Aaron,KilliantheVampire,2.080723524093628,MM
Doug,Michael,2.1067936420440674,MM
Larry,Mark,2.008342027664185,MM
Damian,River,2.0007827281951904,MM
Carlos,Duke,2.1289987564086914,MM
NewscasterJohn,River,2.053273916244507,MM
Elias,Frankenstein,2.0611088275909424,MM
Keybo,KlipKim,2.0198662281036377,MM
Justin,Viktor,2.037290334701538,MM
PN,Rusty,2.1110970973968506,MM
Buddy,Sean,2.0047764778137207,MM
Patrick,Walter,2.008824586868286,MM
CaptainBill,Hugh,2.124516248703003,MM
Duke,Ron,2.153695821762085,MM
Kanno,Larry,2.034678220748902,MM
Gus,Icarus,2.0744030475616455,MM
Keybo,Michael,2.052698850631714,MM
Aiden,Mark,2.131167411804199,MM
Rusty,Xavier,2.0706541538238525,MM
Gus,Kanno,2.017515182495117,MM
Dan,Edward,2.0000312328338623,MM
River,Rudolph,2.0325686931610107,MM
Furnando,UncleHank,2.0582025051116943,MM
Callan,Matthew,2.008700132369995,MM
Frankenstein,Slushy,2.183602094650269,MM
Bruce,Vincent,2.050910711288452,MM
Jackson,Ron,2.0014195442199707,MM
Hans,Sindarin,2.2013204097747803,MM
Graham,Jimmy,2.105263948440552,MM
Hans,Wade,2.065171480178833,MM
Eman,UncleHank,2.021576404571533,MM
Brad,Rusty,2.1565325260162354,MM
Neel,Viktor,2.0428173542022705,MM
Noa,Viktor,2.138720989227295,MM
Jimmy,Liam,2.002823829650879,MM
Sean,Tyson,2.0121266841888428,MM
CaptainBill,Hans,2.046039581298828,MM
Royce,Sean,2.023393154144287,MM
Carl,Hugh,2.140299081802368,MM
Brad,Icarus,2.0579874515533447,MM
George,Viktor,2.1657958030700684,MM
Chester,Mark,2.16365909576416,MM
Dylan,Robert,2.0309107303619385,MM
Chad,Hans,2.0348284244537354,MM
Jeff,NewscasterJohn,2.017155408859253,MM
Kevin,Mark,2.173395872116089,MM
Jackson,Mark,2.1261656284332275,MM
Ben,Cyrus,2.01999831199646,MM
Royce,Viktor,2.0344741344451904,MM
Michael,Sean,2.0700957775115967,MM
Peter,Rusty,2.268298864364624,MM
Logan,UncleHank,2.1141202449798584,MM
Kanno,Mark,2.046463966369629,MM
Ben,Wade,2.1097428798675537,MM
Duke,Rusty,2.2780516147613525,MM
Carlos,Mark,2.114630699157715,MM
Jack,Owen,2.058032274246216,MM
Elias,Rusty,2.132178783416748,MM
Icarus,Owen,2.0664167404174805,MM
Rusty,Santa,2.212345838546753,MM
David,Owen,2.0324931144714355,MM
Mark,Simon,2.086764097213745,MM
Peter,SantaClaus,2.0900371074676514,MM
Gus,Hans,2.0544140338897705,MM
Frankenstein,Viktor,2.058739423751831,MM
Philip,Viktor,2.07310152053833,MM
Rusty,Slushy,2.1360769271850586,MM
CaptainBill,Viktor,2.232562780380249,MM
Michael,Patrick,2.1961615085601807,MM
Edward,Viktor,2.358966112136841,MM
CaptainBill,Santa,2.023787021636963,MM
Rusty,Sean,2.2559802532196045,MM
KilliantheVampire,Patrick,2.0846829414367676,MM
Keybo,Viktor,2.440502405166626,MM
Frankenstein,UncleHank,2.0834500789642334,MM
NewscasterJohn,Peter,2.0517759323120117,MM
DollarJr,Mark,2.1025071144104004,MM
Callan,Duke,2.1503102779388428,MM
Hans,Mark,2.0513949394226074,MM
Ron,West,2.0237033367156982,MM
NewscasterJohn,Sean,2.1050236225128174,MM
Hans,West,2.1438491344451904,MM
George,Rusty,2.0163071155548096,MM
UncleHank,Vincent,2.0511133670806885,MM
Duke,Icarus,2.1570842266082764,MM
Carlos,Hugh,2.009132623672486,MM
Benny,Jeff,2.012845754623413,MM
SantaClaus,UncleHank,2.301339864730835,MM
Chase,Owen,2.0582711696624756,MM
Benny,Carl,2.0461976528167725,MM
Buddy,Vincent,2.007894992828369,MM
Elias,Rex,2.0652756690979004,MM
Hans,Viktor,2.3473527431488037,MM
David,Keybo,2.147688150405884,MM
Carlos,Viktor,2.2074124813079834,MM
Jeff,SantaClaus,2.1395938396453857,MM
Elias,Santa,2.053336381912231,MM
Cyrus,Hans,2.06311297416687,MM
Benny,SantaClaus,2.0980117321014404,MM
Sean,UncleHank,2.123854875564575,MM
Frankenstein,Patrick,2.084944248199463,MM
Elias,Rudolph,2.112529993057251,MM
Keybo,Neel,2.0296926498413086,MM
Keybo,Landon,2.040916681289673,MM
Brad,Robert,2.0072078704833984,MM
Graham,Santa,2.044938087463379,MM
Patrick,Tyson,2.140420198440552,MM
Jeff,Tyson,2.073335647583008,MM
Aiden,Viktor,2.012718439102173,MM
Aaron,Santa,2.0288054943084717,MM
DollarJr,Viktor,2.231119155883789,MM
Mark,Tim,2.1007769107818604,MM
Jeff,Owen,2.13043475151062,MM
SantaClaus,Tyson,2.150134325027466,MM
Owen,SantaClaus,2.3965604305267334,MM
Chester,KilliantheVampire,2.1489126682281494,MM
Benny,Peter,2.0187270641326904,MM
Mark,Neoguard,2.0152156352996826,MM
Ron,Rudolph,2.051571846008301,MM
Eman,Hans,2.023993015289306,MM
David,SantaClaus,2.1669135093688965,MM
Henry,Rusty,2.0918469429016113,MM
Aaron,Viktor,2.0970265865325928,MM
KilliantheVampire,Simon,2.1420559883117676,MM
Neoguard,UncleHank,2.0124549865722656,MM
Jackson,Viktor,2.2798357009887695,MM
Icarus,Sean,2.035064935684204,MM
SantaClaus,Viktor,2.2688024044036865,MM
Chase,Rex,2.0127010345458984,MM
Slushy,Viktor,2.2007548809051514,MM
KilliantheVampire,Vincent,2.220329999923706,MM
KlipKim,Patrick,2.01407241821289,MM
Graham,Sean,2.037385940551758,MM
Kanno,Tyson,2.034662961959839,MM
Oscar,SantaClaus,2.038116216659546,MM
Chase,Tyson,2.050833225250244,MM
Neoguard,Rusty,2.1089999675750732,MM
KlipKim,SantaClaus,2.059696912765503,MM
Joshua,Viktor,2.169650077819824,MM
River,SantaClaus,2.1512134075164795,MM
DollarJr,Keybo,2.0105130672454834,MM
Lloyd,Royce,2.102877378463745,MM
Lloyd,Owen,2.1357924938201904,MM
Benny,KilliantheVampire,2.112394094467163,MM
Jimmy,NewscasterJohn,2.1433074474334717,MM
