name1,name2,distance
Larry,Wade,0.925199568271637
Dean,Larry,0.932956874370575
Vanessa,Vivien,0.9590269923210144
Sara,Vanessa,0.9626211524009705
Dan,Kevin,1.021309494972229
Emma,Vivien,1.0289841890335083
Bell,Doughnut,1.0332728624343872
Bruce,Lloyd,1.0335723161697388
Dean,Wade,1.0589338541030884
Carlos,DollarJr,1.070440411567688
Camila,Millie,1.0726385116577148
Bell,Jenna,1.085882306098938
April,SabrinatheWitch,1.0888723134994507
Sara,Vivien,1.089726209640503
Aiden,Cole,1.0969120264053345
Cole,Ryan,1.0987099409103394
Camila,Jenna,1.103798270225525
Bell,Camila,1.1082583665847778
Doughnut,Jenna,1.111775279045105
Avery,Nana,1.1119900941848755
Nia,Nova,1.1283468008041382
Camila,Lindsay,1.1450735330581665
Camila,Doughnut,1.1508530378341675
Neoguard,PN,1.154642105102539
Amber,Echo,1.1790531873703003
Jennifer,ReporterCatalina,1.1810463666915894
Abigail,Amber,1.1847554445266724
Emma,Vanessa,1.1847639083862305
Lindsay,Millie,1.1880296468734741
Kristen,Skylar,1.1884342432022095
Brad,Oscar,1.1945937871932983
MrsClaus,Sophia,1.1984766721725464
Brad,Nathan,1.2012662887573242
KlipKim,Rudolph,1.2013064622879028
Helena,Jenna,1.2059142589569092
Alex,Emma,1.2118991613388062
Charlotte,Olivia,1.2135331630706787
KlipKim,Peter,1.2153005599975586
Jack,Liam,1.217524528503418
Carol,Lydia,1.2184773683547974
Mark,NewscasterJohn,1.2191377878189087
Brad,Eman,1.2212867736816406
Amber,Athena,1.222094178199768
Jennifer,Nana,1.2294434309005737
Margaret,ReporterCatalina,1.2295290231704712
Nathan,Oscar,1.2328827381134033
Liz,Olivia,1.233863353729248
Bell,Lindsay,1.2347272634506226
Jenna,Lydia,1.2398523092269897
Justin,Tim,1.247254490852356
Avery,Harper,1.2490041255950928
Emma,Sara,1.250396966934204
Carol,Nana,1.2562543153762817
Doughnut,Lydia,1.2575350999832153
Noa,PN,1.2576658725738525
Jenna,Lindsay,1.2610059976577759
Patricia,Riley,1.261947512626648
Liz,Starling,1.2703438997268677
Neoguard,Noa,1.2711511850357056
Nana,ReporterCatalina,1.2744156122207642
Michael,Santa,1.2798329591751099
Bell,Lydia,1.282335638999939
Jodie,SabrinatheWitch,1.2836909294128418
Abigail,April,1.288442850112915
Bell,Millie,1.290594458580017
Abigail,Echo,1.2919213771820068
Norah,Nova,1.2923544645309448
NewscasterJohn,Philip,1.2938814163208008
Lydia,Natalie,1.2955337762832642
Aiden,Ryan,1.29922354221344
Chloe,Nova,1.2997137308120728
Lydia,Rebecca,1.3053855895996094
Rudolph,Vincent,1.3174755573272705
Eman,Oscar,1.3188127279281616
Abigail,MrsClaus,1.3253026008605957
David,Xavier,1.3296900987625122
Jenna,Liz,1.3296966552734375
Kelsey,Olivia,1.3326244354248047
Lydia,Stephanie,1.337934136390686
Graham,Neel,1.338185429573059
Cyrus,Royce,1.3395905494689941
Jake,Neoguard,1.3400267362594604
Jake,PN,1.3422036170959473
Lindsay,Stephanie,1.3448880910873413
Philip,Tyson,1.3451052904129028
Doug,Robert,1.3451277017593384
Abigail,Rebecca,1.3459211587905884
Avery,Carol,1.3461514711380005
Nova,Skylar,1.347051739692688
Lydia,Margaret,1.3479775190353394
Aiden,Dan,1.3492798805236816
Alex,Vivien,1.3496102094650269
Alex,Lindsay,1.3501943349838257
Kristen,Nova,1.3515933752059937
Echo,Rebecca,1.3532729148864746
Liz,Lydia,1.3542448282241821
AnnabelletheGhost,Stephanie,1.3546901941299438
Rudolph,Walter,1.3553420305252075
Lydia,Olivia,1.3554301261901855
Cyrus,West,1.3565162420272827
Eman,Nathan,1.3573585748672485
Buddy,Furnando,1.3591641187667847
Janet,Tessa,1.365648865699768
