name,voice_id,gender,velocity,C
Mark,tc_5e11db23b70e890009fb7ae7,M,0.1955,153
Camila,tc_5f8d7b0de146f10007b8042f,F,0.2455,122
Jennifer,tc_601944fb9089786f78c285ef,F,0.2591,116
Glenda,tc_602292ef9089786f78c93ef1,F,0.2045,147
UncleHank,tc_602bd4fa8cfef478f1ceef0d,M,0.2091,143
Icarus,tc_603513d91860484c4dcb6a11,M,0.2227,135
Jimmy,tc_603fa0459441d42bc362eadf,M,0.2136,140
ReporterCatalina,tc_604785d9ecccaef0e390a635,F,0.2227,135
NewscasterJohn,tc_6059dbe12fbc0b7887584a05,M,0.1682,178
Duke,tc_6075b391922523862ea7598d,M,0.1955,153
Doughnut,tc_6075b407b8a5c6f36b877c88,F,0.2182,137
Nana,tc_6076e25ac80469168e3771cf,F,0.2227,135
Xavier,tc_60915a63276a6a7600d7acfa,M,0.2273,132
Margaret,tc_609a8fa4692037c4c168fe95,F,0.2591,150
Liam,tc_60b64250db6e52c09714b379,M,0.2136,140
George,tc_60d1f8de6eff8301c397014a,M,0.2409,125
Annie,tc_60db2fccdd71a40a1d3476f8,F,0.1682,178
David,tc_60e5421475f558ee6473a00a,M,0.2227,135
Jack,tc_60e5426de8b95f1d3000d7b5,M,0.2909,103
Furnando,tc_610028154ecbefd29fb421b3,M,0.2182,137
Keybo,tc_6100287f568d6198a78bac31,M,0.2545,118
Sindarin,tc_61095ebc03c0e5b98f8ba69c,M,0.2818,140
Kevin,tc_61095f50876293488937d5db,M,0.2182,137
Vanessa,tc_61377f18a4d286537b5aba26,F,0.1818,165
Dan,tc_615c6abd9d9ddf11c620ad8e,M,0.15,200
Vivien,tc_615c6b331b008225e4d0fbe3,F,0.1682,178
Viqqie,tc_6178a6758972cb5bb66f1295,F,0.2,150
Santa,tc_61a6c0031649b652166c4f38,M,0.2909,103
Slushy,tc_61a6c1b345116a3825caf1cd,M,0.1909,157
Rudolph,tc_61a6c227d9e36101d9810908,M,0.25,120
DollarJr,tc_61b007392f2010f2aa1a052a,M,0.2136,140
Peter,tc_61b9a749a28a0b3f64b21b9d,M,0.1682,170
Michael,tc_61b9a7e8a820ec151ae3c7f9,M,0.25,120
Carlos,tc_61b9a899a28a0b3f64b21d4f,M,0.1864,161
Emma,tc_61d55a84b8c48f42d69b2399,F,0.2318,129
Ryan,tc_61d55adfd6c33fa5f66cb067,M,0.15,200
Katie,tc_61de29b665ffbaa1cbe5ca23,F,0.1909,157
Aiden,tc_61e7485c629d45e35622d1fc,M,0.1455,170
Noa,tc_62031f1abb4297c1b176eb21,M,0.1545,194
Vincent,tc_6215be148d739924bba411b9,M,0.2,150
Helena,tc_62203cf8a08b67aac4623e41,F,0.1955,153
Oscar,tc_6229652aa4ff5d1ee6bf4e5f,M,0.15,200
Matthew,tc_623145940c2c1ff30c30f3a9,M,0.1955,153
Angela,tc_6243fb22de596ce0d3ba965c,F,0.2182,137
Hans,tc_624ccc5a6ac2f03235ce042b,M,0.2227,135
Edward,tc_625fb112fefc49af63d18127,M,0.2136,140
Neoguard,tc_6271b909bc73a0f7591f147c,M,0.2,150
Alex,tc_6271b9639382aa2d68e2d5c1,F,0.2136,140
Kelly,tc_627ae5cd14dc32608fdaffa8,F,0.2136,140
PN,tc_62849c6d4b8771d984837ff6,M,0.2591,116
Claire,tc_628d9c881374f768260298b0,F,0.2227,135
Sara,tc_628d9d5b75e5cde93b873079,F,0.1727,174
Sophia,tc_6296a8797f24a46b8273606d,F,0.2273,132
Tyson,tc_629fe969a31b8f569a9b1f15,M,0.1682,178
Olivia,tc_62a8975e695ad26f7fb514d1,F,0.1864,161
Joshua,tc_62baac399b316e5fec036a26,M,0.1591,189
Samantha,tc_62baac538f06bd484ee976bd,F,0.1818,165
Tim,tc_62ce546661d31a90a0f786d0,M,0.1591,189
Cyrus,tc_62d66c463c017468ffbd53ed,M,0.1864,161
Mia,tc_62df8e33e435e7a9350f3099,F,0.1864,161
Owen,tc_62e8f1e86627e27dcffd8884,M,0.1682,178
Stephanie,tc_62f223d11643eebf963582f7,F,0.2409,125
Agatha,tc_63049449e7dfae64b10c6cb9,F,0.2364,127
Rachel,tc_630494521f5003bebbfdafef,F,0.2227,135
Sean,tc_6304945aa2fc5265848f300e,M,0.1727,174
Caleb,tc_630ddacc02e347147b7d9590,M,0.1727,174
Rebecca,tc_631725814e0d806f7158efde,F,0.2364,150
Rex,tc_6322940059d649937b97f326,M,0.1773,169
West,tc_632a757ae7c78a412f5a36c0,M,0.2045,147
Lindsay,tc_632a759503f3cb7b9c8a717b,F,0.2136,140
Ben,tc_63350626a4d11d74fc90e06c,M,0.1818,165
Justin,tc_633d530f093ca33db95de02b,M,0.1773,169
Tina,tc_6347828cd3835443f0fcd572,F,0.1864,161
Henry,tc_6347829caf3bab65523c3240,M,0.1591,189
KilliantheVampire,tc_634f8eb8165554e4256eeda1,M,0.1909,157
SabrinatheWitch,tc_634f8ec12e351d8a3d548e61,F,0.2,150
Frankenstein,tc_634f8ecab302fd064cd4c20f,M,0.2045,147
JackoLantern,tc_634f8ed3165554e4256eedac,M,0.1727,174
AnnabelletheGhost,tc_6351fe842e351d8a3d558e1e,F,0.2136,140
Millie,tc_6359e7f6467f9e240b68292c,F,0.2364,127
Philip,tc_63622ab3ce9c868d3a7eaa98,M,0.2227,135
Abigail,tc_636b1d8ae820660d79a740f7,F,0.1955,153
Athena,tc_63745dc2d87a09363fb4391d,F,0.1591,189
Patrick,tc_637cbff794cf9b355ca6f6c6,M,0.2091,143
Jodie,tc_637cc000808a2da802dcb402,F,0.1773,169
MrsClaus,tc_6386d6b4bd1e28def9077e15,F,0.2455,122
SantaClaus,tc_6386d6bf146d8da2a87ae54d,M,0.2227,135
Bell,tc_638efbaec39679f98353178d,F,0.1864,161
Buddy,tc_638efbbfc39679f9835317a0,M,0.1818,165
Liz,tc_639ad2972cce84809db3cfd3,F,0.1773,169
Charlotte,tc_63a3d9e24b235ddd6541a799,F,0.2318,129
Graham,tc_63aaebfaf95b9c23b311c88d,M,0.1955,153
Cole,tc_63b66515af8bf60c80b87642,M,0.1591,189
April,tc_63be4f3d1b9bdfe02e12ddfc,F,0.2,150
Maddie,tc_63c76c7474190a31f3d02cc3,F,0.1818,165
Neel,tc_63d3770f4d2e3367877bab36,M,0.2318,129
Lydia,tc_63da42ad276df1e8bc54a45c,F,0.2182,150
Brad,tc_63e45daee48a09fcf2d45402,M,0.1773,169
Catherine,tc_63edf3e806ab09dfc7719403,F,0.1818,165
Natalie,tc_63f7168fddf3fa512c2a103a,F,0.1727,174
KlipKim,tc_64004d0d38436e7e4f15b2d4,M,0.1682,178
Nathan,tc_640997e4bb4c0b074eef945b,M,0.1909,157
Caitlyn,tc_6412c42d733f60ab8ad369a9,F,0.1636,183
Jenna,tc_641c10bfb62ae5eee6db3f9e,F,0.2,150
Amber,tc_642f9d2775cffa2644e0ecc8,F,0.1955,153
Jake,tc_643797da6738883e188505b7,M,0.1636,183
River,tc_643f9ac36b6e3e4e54988d55,M,0.1955,153
Eman,tc_644a0a57228dab7c49bfdd25,M,0.1227,244
Maisie,tc_645349827a050a4142d49edf,F,0.2091,143
CaptainBill,tc_6513e3e95ea8304ce7602956,M,0.1864,161
Norah,tc_653a07aa07552a5cf615ac91,F,0.2227,135
Rita,tc_65604660f62f4fb1ea4bd79c,F,0.2136,140
Lloyd,tc_65681f21097fc4326ceb5e21,M,0.2136,140
Avery,tc_659655839f7a5014fe74a76c,F,0.1864,161
Simon,tc_65b34b05b3fb844f3d6b7aab,M,0.2091,143
Callan,tc_65bca7feace8a6fe13966252,M,0.2045,147
Royce,tc_65cb142996cc219854a14065,M,0.2273,132
Larry,tc_65d84b782b58da07b628d384,M,0.2227,135
Chester,tc_660e5c11eef728e75f95f520,M,0.1864,161
Patricia,tc_660e5c29eef728e75f95f538,F,0.1818,165
Ron,tc_6620ee223bc61e2f6b79fdb5,M,0.1864,161
Carol,tc_6620ee743bc61e2f6b79fdd1,F,0.2227,135
Kristen,tc_662a15c1e31aab9a774b3b31,F,0.2136,140
Landon,tc_6633457fb5267dbd4808a2dd,M,0.2136,140
Chloe,tc_66aca22c7d31e45ff05ff418,F,0.2091,143
Robert,tc_66bc600762cab997910b107b,M,0.2136,140
Starling,tc_66bc60339ab2db047154b94e,F,0.2318,129
Dylan,tc_672c5f5ce59fac2a48faeaee,M,0.2227,135
Bruce,tc_672c5f873e4ac3afd2c02019,M,0.2273,132
Chase,tc_67358772bcde863931cb6f40,M,0.1955,153
Harper,tc_673587a063fc41710954ce20,F,0.2227,135
Shana,tc_673eb42eef5b688d8cadd086,F,0.2273,132
Dean,tc_673eb45cdc1073aef51e6b90,M,0.2227,135
Ravi,tc_67480871602c751359c7b221,M,0.2545,118
Lucille,tc_674808a7602c751359c7b280,F,0.2273,132
Jeff,tc_67512e5af2b6dbabce63f92a,M,0.2227,135
Skylar,tc_67512e8b0b5984173fa04685,F,0.2091,143
Oliver,tc_675932accd1349e1c9aa0c3f,F,0.2727,110
Grace,tc_675932df789ff3ea6cc6d37b,F,0.2182,137
Kelsey,tc_6763aa69e0158fa7fe2ecdd2,F,0.2045,147
Paige,tc_6763aa9308bfb62a22f42f3d,F,0.1909,157
Carl,tc_6777666645604e14c7ff8ee5,M,0.2409,125
Victoria,tc_6777669145604e14c7ff8f03,F,0.2136,140
Hugh,tc_677f373da02bd83e0934e7ea,M,0.2227,135
Hailey,tc_677f3763b5a012d3b3b3e85e,F,0.2364,127
Viktor,tc_67888393646bd9364605d57a,M,0.2455,122
Benny,tc_678883c29939d48aeb8641ae,M,0.1591,189
Logan,tc_6791c4a4c79515dea68b4a75,M,0.2,150
Jackson,tc_6791c4c4bbcdc04afd3fde2f,M,0.2182,137
Margot,tc_67a440ec1e05bd5665857efd,F,0.2182,137
Damian,tc_67ad6d39799793979dad0e1b,M,0.2,150
Aaron,tc_67b6985d4d5d632d97478263,M,0.1864,161
Rusty,tc_67bfc776d41bad708fdf4ef9,M,0.2136,140
Gus,tc_67bfc79c0fdd0f534e9567b1,M,0.1864,161
Valerie,tc_67c90d1c45897c4a74a51a8d,F,0.2091,143
Chad,tc_67c90d6244cf859417f2fff5,M,0.2,150
