name,voice_id
Mark,tc_5e11db23b70e890009fb7ae7
Camila,tc_5f8d7b0de146f10007b8042f
Jennifer,tc_601944fb9089786f78c285ef
Glenda,tc_602292ef9089786f78c93ef1
Uncle Hank,tc_602bd4fa8cfef478f1ceef0d
Icarus,tc_603513d91860484c4dcb6a11
Jimmy,tc_603fa0459441d42bc362eadf
Reporter Catalina,tc_604785d9ecccaef0e390a635
Newscaster John,tc_6059dbe12fbc0b7887584a05
Duke,tc_6075b391922523862ea7598d
Doughnut,tc_6075b407b8a5c6f36b877c88
Nana,tc_6076e25ac80469168e3771cf
Xavier,tc_60915a63276a6a7600d7acfa
Margaret,tc_609a8fa4692037c4c168fe95
Liam,tc_60b64250db6e52c09714b379
George,tc_60d1f8de6eff8301c397014a
Annie,tc_60db2fccdd71a40a1d3476f8
David,tc_60e5421475f558ee6473a00a
Jack,tc_60e5426de8b95f1d3000d7b5
Furnando,tc_610028154ecbefd29fb421b3
Keybo,tc_6100287f568d6198a78bac31
Sindarin,tc_61095ebc03c0e5b98f8ba69c
Kevin,tc_61095f50876293488937d5db
Vanessa,tc_61377f18a4d286537b5aba26
Dan,tc_615c6abd9d9ddf11c620ad8e
Vivien,tc_615c6b331b008225e4d0fbe3
Viqqie,tc_6178a6758972cb5bb66f1295
Santa,tc_61a6c0031649b652166c4f38
Slushy,tc_61a6c1b345116a3825caf1cd
Rudolph,tc_61a6c227d9e36101d9810908
Dollar Jr.,tc_61b007392f2010f2aa1a052a
Peter,tc_61b9a749a28a0b3f64b21b9d
Michael,tc_61b9a7e8a820ec151ae3c7f9
Carlos,tc_61b9a899a28a0b3f64b21d4f
Emma,tc_61d55a84b8c48f42d69b2399
Ryan,tc_61d55adfd6c33fa5f66cb067
Katie,tc_61de29b665ffbaa1cbe5ca23
Aiden,tc_61e7485c629d45e35622d1fc
Noa,tc_62031f1abb4297c1b176eb21
Vincent,tc_6215be148d739924bba411b9
Helena,tc_62203cf8a08b67aac4623e41
Oscar,tc_6229652aa4ff5d1ee6bf4e5f
Matthew,tc_623145940c2c1ff30c30f3a9
Angela,tc_6243fb22de596ce0d3ba965c
Hans,tc_624ccc5a6ac2f03235ce042b
Edward,tc_625fb112fefc49af63d18127
Neoguard,tc_6271b909bc73a0f7591f147c
Alex,tc_6271b9639382aa2d68e2d5c1
