name,voice_id,gender
Mark,tc_5e11db23b70e890009fb7ae7,M
Camila,tc_5f8d7b0de146f10007b8042f,F
Jennifer,tc_601944fb9089786f78c285ef,F
Glenda,tc_602292ef9089786f78c93ef1,F
Uncle Hank,tc_602bd4fa8cfef478f1ceef0d,M
Icarus,tc_603513d91860484c4dcb6a11,M
Jimmy,tc_603fa0459441d42bc362eadf,M
Reporter Catalina,tc_604785d9ecccaef0e390a635,F
Newscaster John,tc_6059dbe12fbc0b7887584a05,M
Duke,tc_6075b391922523862ea7598d,M
Doughnut,tc_6075b407b8a5c6f36b877c88,M
Nana,tc_6076e25ac80469168e3771cf,F
Xavier,tc_60915a63276a6a7600d7acfa,M
Margaret,tc_609a8fa4692037c4c168fe95,F
Liam,tc_60b64250db6e52c09714b379,M
George,tc_60d1f8de6eff8301c397014a,M
Annie,tc_60db2fccdd71a40a1d3476f8,F
David,tc_60e5421475f558ee6473a00a,M
Jack,tc_60e5426de8b95f1d3000d7b5,M
Furnando,tc_610028154ecbefd29fb421b3,M
Keybo,tc_6100287f568d6198a78bac31,M
Sindarin,tc_61095ebc03c0e5b98f8ba69c,M
Kevin,tc_61095f50876293488937d5db,M
Vanessa,tc_61377f18a4d286537b5aba26,F
Dan,tc_615c6abd9d9ddf11c620ad8e,M
Vivien,tc_615c6b331b008225e4d0fbe3,M
Viqqie,tc_6178a6758972cb5bb66f1295,F
Santa,tc_61a6c0031649b652166c4f38,M
Slushy,tc_61a6c1b345116a3825caf1cd,M
Rudolph,tc_61a6c227d9e36101d9810908,M
Dollar Jr.,tc_61b007392f2010f2aa1a052a,M
Peter,tc_61b9a749a28a0b3f64b21b9d,M
Michael,tc_61b9a7e8a820ec151ae3c7f9,M
Carlos,tc_61b9a899a28a0b3f64b21d4f,M
Emma,tc_61d55a84b8c48f42d69b2399,F
Ryan,tc_61d55adfd6c33fa5f66cb067,M
Katie,tc_61de29b665ffbaa1cbe5ca23,F
Aiden,tc_61e7485c629d45e35622d1fc,M
Noa,tc_62031f1abb4297c1b176eb21,M
Vincent,tc_6215be148d739924bba411b9,M
Helena,tc_62203cf8a08b67aac4623e41,F
Oscar,tc_6229652aa4ff5d1ee6bf4e5f,M
Matthew,tc_623145940c2c1ff30c30f3a9,M
Angela,tc_6243fb22de596ce0d3ba965c,F
Hans,tc_624ccc5a6ac2f03235ce042b,M
Edward,tc_625fb112fefc49af63d18127,M
Neoguard,tc_6271b909bc73a0f7591f147c,M
Alex,tc_6271b9639382aa2d68e2d5c1,F
Kelly,tc_627ae5cd14dc32608fdaffa8,F
P-0150N,tc_62849c6d4b8771d984837ff6,M
Claire,tc_628d9c881374f768260298b0,F
Sara,tc_628d9d5b75e5cde93b873079,F
Sophia,tc_6296a8797f24a46b8273606d,F
Tyson,tc_629fe969a31b8f569a9b1f15,M
Olivia,tc_62a8975e695ad26f7fb514d1,F
Joshua,tc_62baac399b316e5fec036a26,M
Samantha,tc_62baac538f06bd484ee976bd,F
Tim,tc_62ce546661d31a90a0f786d0,M
Cyrus,tc_62d66c463c017468ffbd53ed,M
Mia,tc_62df8e33e435e7a9350f3099,F
Owen,tc_62e8f1e86627e27dcffd8884,M
Stephanie,tc_62f223d11643eebf963582f7,F
Leo,tc_62fb678f9b93d9207fa8c032,M
Ella,tc_62fb679683a541c351dc7c3a,F
Agatha,tc_63049449e7dfae64b10c6cb9,F
Rachel,tc_630494521f5003bebbfdafef,F
Sean,tc_6304945aa2fc5265848f300e,M
Caleb,tc_630ddacc02e347147b7d9590,M
Rebecca,tc_631725814e0d806f7158efde,F
Rex,tc_6322940059d649937b97f326,M
West,tc_632a757ae7c78a412f5a36c0,M
Lindsay,tc_632a759503f3cb7b9c8a717b,F
Ben,tc_63350626a4d11d74fc90e06c,M
Justin,tc_633d530f093ca33db95de02b,M
Tina,tc_6347828cd3835443f0fcd572,F
Henry,tc_6347829caf3bab65523c3240,M
Killian the Vampire,tc_634f8eb8165554e4256eeda1,F
Sabrina the Witch,tc_634f8ec12e351d8a3d548e61,F
Frankenstein,tc_634f8ecab302fd064cd4c20f,M
Jack-o’-Lantern,tc_634f8ed3165554e4256eedac,M
Annabelle the Ghost,tc_6351fe842e351d8a3d558e1e,F
Millie,tc_6359e7f6467f9e240b68292c,F
Philip,tc_63622ab3ce9c868d3a7eaa98,M
Abigail,tc_636b1d8ae820660d79a740f7,F
Athena,tc_63745dc2d87a09363fb4391d,F
Patrick,tc_637cbff794cf9b355ca6f6c6,M
Jodie,tc_637cc000808a2da802dcb402,M
Mrs. Claus,tc_6386d6b4bd1e28def9077e15,F
Santa Claus,tc_6386d6bf146d8da2a87ae54d,M
Bell,tc_638efbaec39679f98353178d,F
Noel,tc_638efbb7fac82cf52330aa49,F
Buddy,tc_638efbbfc39679f9835317a0,M
Liz,tc_639ad2972cce84809db3cfd3,F
Charlotte,tc_63a3d9e24b235ddd6541a799,F
Graham,tc_63aaebfaf95b9c23b311c88d,M
Cole,tc_63b66515af8bf60c80b87642,M
April,tc_63be4f3d1b9bdfe02e12ddfc,F
Maddie,tc_63c76c7474190a31f3d02cc3,F
Neel,tc_63d3770f4d2e3367877bab36,M
Lydia,tc_63da42ad276df1e8bc54a45c,F
Brad,tc_63e45daee48a09fcf2d45402,M
Catherine,tc_63edf3e806ab09dfc7719403,F
Natalie,tc_63f7168fddf3fa512c2a103a,F
Klip Kim,tc_64004d0d38436e7e4f15b2d4,M
Nathan,tc_640997e4bb4c0b074eef945b,M
Caitlyn,tc_6412c42d733f60ab8ad369a9,M
Jenna,tc_641c10bfb62ae5eee6db3f9e,F
Amber,tc_642f9d2775cffa2644e0ecc8,M
Jake,tc_643797da6738883e188505b7,M
River,tc_643f9ac36b6e3e4e54988d55,M
Eman,tc_644a0a57228dab7c49bfdd25,M
Maisie,tc_645349827a050a4142d49edf,F
Billie,tc_645b39b760386589fd851133,M
Captain Bill,tc_6513e3e95ea8304ce7602956,M
Norah,tc_653a07aa07552a5cf615ac91,F
Rita,tc_65604660f62f4fb1ea4bd79c,F
Lloyd,tc_65681f21097fc4326ceb5e21,M
Avery,tc_659655839f7a5014fe74a76c,F
Simon,tc_65b34b05b3fb844f3d6b7aab,M
Callan,tc_65bca7feace8a6fe13966252,M
Royce,tc_65cb142996cc219854a14065,M
Larry,tc_65d84b782b58da07b628d384,M
Chester,tc_660e5c11eef728e75f95f520,M
Patricia,tc_660e5c29eef728e75f95f538,F
Ron,tc_6620ee223bc61e2f6b79fdb5,M
Carol,tc_6620ee743bc61e2f6b79fdd1,F
Kristen,tc_662a15c1e31aab9a774b3b31,M
Landon,tc_6633457fb5267dbd4808a2dd,M
Chloe,tc_66aca22c7d31e45ff05ff418,F
Robert,tc_66bc600762cab997910b107b,M
Starling,tc_66bc60339ab2db047154b94e,F
Dylan,tc_672c5f5ce59fac2a48faeaee,M
Bruce,tc_672c5f873e4ac3afd2c02019,M
Chase,tc_67358772bcde863931cb6f40,M
Harper,tc_673587a063fc41710954ce20,M
Shana,tc_673eb42eef5b688d8cadd086,F
Dean,tc_673eb45cdc1073aef51e6b90,M
Ravi,tc_67480871602c751359c7b221,F
Lucille,tc_674808a7602c751359c7b280,F
Jeff,tc_67512e5af2b6dbabce63f92a,M
Skylar,tc_67512e8b0b5984173fa04685,M
Oliver,tc_675932accd1349e1c9aa0c3f,M
Grace,tc_675932df789ff3ea6cc6d37b,F
Kelsey,tc_6763aa69e0158fa7fe2ecdd2,F
Paige,tc_6763aa9308bfb62a22f42f3d,F
Carl,tc_6777666645604e14c7ff8ee5,M
Victoria,tc_6777669145604e14c7ff8f03,F
Hugh,tc_677f373da02bd83e0934e7ea,M
Hailey,tc_677f3763b5a012d3b3b3e85e,F
Viktor,tc_67888393646bd9364605d57a,M
Benny,tc_678883c29939d48aeb8641ae,F
Logan,tc_6791c4a4c79515dea68b4a75,M
Jackson,tc_6791c4c4bbcdc04afd3fde2f,M
Margot,tc_67a440ec1e05bd5665857efd,F
Damian,tc_67ad6d39799793979dad0e1b,M
Aaron,tc_67b6985d4d5d632d97478263,M
Rusty,tc_67bfc776d41bad708fdf4ef9,M
Gus,tc_67bfc79c0fdd0f534e9567b1,M
Valerie,tc_67c90d1c45897c4a74a51a8d,F
Chad,tc_67c90d6244cf859417f2fff5,M
Sylvia,tc_67d237aac9ac563922580832,F
Kanno,tc_67d237f1782cabcc6155272f,M
Zoey,tc_67d238428572120c4aa644cc,M
Verna,tc_67db74bc7b2874e2eb0c25ab,F
Riley,tc_67db7504d5ebacf7578e68f1,F
Elias,tc_67db753311833db994c4fed7,M
Nova,tc_67e38e49771b5511659c4690,F
Audrey,tc_67e38e6d4600650873ac157c,F
Doug,tc_67edd8ff659e800a322a5877,M
Janet,tc_67edd9343da73ae7896e347d,F
Echo,tc_67edd95eafe0d80b072ad31e,F
Tessa,tc_682554969f03b333d376122a,F
Walter,tc_6837b58f80ceeb17115bb771,M
Nia,tc_684a5a7ba2ce934624b59c6e,F
Wade,tc_685ca2dcfa58f44bdbe60d65,M
